385	1
170	452
282	256
318	468
41	195
159	148
242	183
246	28
435	319
20	353
373	428
128	113
492	41
67	335
134	156
371	307
242	443
124	456
414	364
431	424
146	349
286	37
390	482
471	408
427	83
333	199
94	163
109	70
188	232
499	348
147	284
106	85
170	300
462	392
425	53
211	495
154	392
167	237
490	375
123	63
188	90
364	304
251	176
180	131
464	491
418	185
84	290
207	434
43	141
32	7
172	210
189	490
318	44
63	192
194	250
245	127
429	244
321	265
387	49
117	476
321	113
67	185
256	414
24	265
62	429
181	467
236	260
217	321
382	56
259	488
340	384
102	499
124	292
92	61
283	130
122	135
10	246
400	273
330	69
86	239
432	280
35	131
309	82
250	324
98	324
36	184
28	303
60	420
357	450
448	205
178	396
211	415
48	242
435	310
236	181
111	172
150	130
5	293
361	345
32	186
265	281
202	230
135	185
422	425
327	143
451	168
45	60
370	241
384	293
407	481
489	332
317	73
443	113
298	414
100	249
74	289
335	99
129	52
135	209
225	401
110	109
314	105
437	316
158	352
282	268
173	497
302	376
465	250
179	291
164	221
30	288
477	424
399	303
198	326
400	350
226	446
182	346
445	410
130	39
67	139
386	244
119	372
384	212
329	357
451	138
17	313
404	146
286	237
179	217
39	355
44	490
289	327
386	312
482	307
481	31
201	432
189	156
283	407
200	34
401	299
230	323
379	224
380	284
462	1
312	426
107	230
144	347
291	188
270	122
211	486
177	432
389	494
129	50
7	289
341	132
146	363
444	287
160	222
326	80
16	494
238	64
148	259
436	159
253	223
129	290
138	91
442	380
446	49
370	478
377	31
427	30
101	301
289	107
307	314
96	154
102	33
447	396
241	1
393	222
218	18
485	339
104	6
140	364
114	389
111	296
14	349
294	104
88	435
207	423
120	184
105	430
445	487
268	444
42	89
232	63
431	86
213	32
174	443
377	136
84	10
84	326
304	166
218	163
373	434
144	332
314	317
475	467
92	228
88	170
402	41
343	99
74	9
6	48
16	315
221	250
150	196
31	164
15	354
239	131
271	439
168	391
377	413
250	279
470	187
452	354
482	342
401	273
198	239
157	285
278	409
315	101
274	463
115	427
33	265
148	397
260	259
380	434
157	217
385	340
469	105
59	258
228	439
43	114
98	158
245	254
297	217
248	354
309	271
313	71
20	338
81	210
14	314
431	103
331	489
485	1
383	458
314	331
386	275
115	49
4	468
198	36
430	150
279	432
346	316
463	415
461	181
139	427
377	202
118	398
25	267
346	307
178	157
287	58
422	273
276	315
32	313
219	490
58	22
342	84
65	414
111	212
456	146
80	228
42	315
288	136
65	230
459	125
135	319
484	357
74	174
173	140
215	245
37	177
485	424
62	61
33	444
447	105
201	489
411	146
66	4
260	108
257	453
277	13
47	167
213	79
86	180
79	480
465	421
144	202
454	416
31	335
255	414
443	414
112	64
331	82
264	402
210	146
290	207
400	222
195	3
397	234
106	214
410	248
434	411
92	138
5	162
468	355
39	243
240	3
380	2
138	99
0	111
170	307
415	112
47	278
383	386
1	293
160	110
349	308
178	347
147	378
413	495
467	114
91	293
58	411
298	196
356	195
269	57
88	403
289	269
496	412
486	137
395	483
440	13
453	400
488	121
445	175
422	256
60	217
218	30
302	258
198	316
218	141
5	417
113	429
298	272
422	156
148	74
491	234
304	316
326	421
139	113
218	311
294	35
263	258
277	223
125	83
119	453
46	280
213	487
409	223
76	45
232	476
